,mass A,,
t,x,y,
11.075,2.506,-8.321
11.091,3.153,-7.707
11.108,3.759,-7.007
11.125,4.335,-6.294
11.141,4.829,-5.478
11.158,5.293,-4.595
11.175,5.697,-3.675
11.191,6.037,-2.752
11.208,6.336,-1.773
11.225,6.517,-0.745
11.241,6.583,0.282
11.258,6.111,1.452
11.275,6.141,2.424
11.292,6.316,3.318
11.308,6.051,4.284
11.325,5.930,5.133
11.342,5.592,5.938
11.358,5.072,6.560
11.375,4.646,7.199
11.392,4.196,7.832
11.408,3.681,8.415
11.425,3.098,8.883
11.442,2.515,9.281
11.458,1.879,9.591
11.475,1.222,9.778
11.492,0.569,9.897
11.508,-0.125,9.898
11.525,-0.834,9.831
11.542,-1.537,9.645
11.558,-2.200,9.376
11.575,-2.897,9.017
11.592,-3.538,8.571
11.608,-4.107,8.064
11.625,-4.692,7.464
11.642,-5.212,6.749
11.658,-5.722,5.956
11.675,-6.203,5.089
11.692,-6.595,4.140
11.709,-6.960,3.140
11.725,-7.280,2.093
11.742,-7.524,1.025
11.759,-7.728,-4.367E-2
11.775,-7.855,-1.124
11.792,-8.130,-2.173
11.809,-8.081,-3.213
11.825,-8.016,-4.223
11.842,-7.835,-5.158
11.859,-7.554,-6.010
11.875,-7.232,-6.796
11.892,-6.848,-7.466
11.909,-6.435,-8.115
11.925,-5.922,-8.668
11.942,-5.433,-9.152
11.959,-4.219,-9.508
11.975,-3.541,-9.835
11.992,-2.890,-10.05
12.009,-2.182,-10.18
12.025,-1.525,-10.19
12.042,-0.827,-10.09
12.059,-0.188,-9.888
12.075,0.510,-9.609
12.092,1.271,-9.249
12.109,1.884,-8.800
12.125,2.456,-8.223
12.142,3.169,-7.626
12.159,3.679,-6.930
12.176,4.211,-6.194
12.192,4.663,-5.368
12.209,5.140,-4.523
12.226,5.475,-3.601
12.242,5.756,-2.613
12.259,6.006,-1.641
12.276,6.167,-0.613
12.292,6.252,0.404
12.309,5.771,1.575
12.326,5.784,2.552
12.342,5.692,3.506
12.359,5.621,4.413
12.376,5.442,5.271
12.392,5.068,6.042
12.409,4.654,6.742
12.426,4.146,7.320
12.442,3.691,7.941
12.459,3.186,8.511
12.476,2.628,8.971
12.492,2.042,9.352
12.509,1.432,9.643
12.526,0.784,9.835
12.542,0.128,9.910
12.559,-0.552,9.919
12.576,-1.224,9.798
12.592,-1.889,9.603
12.609,-2.581,9.308
12.626,-3.244,8.927
12.643,-3.885,8.461
12.659,-4.495,7.905
12.676,-4.947,7.306
12.693,-5.476,6.570
12.709,-5.984,5.758
12.726,-6.446,4.868
12.743,-6.878,3.907
12.759,-7.230,2.878
12.776,-7.582,1.829
12.793,-7.781,0.740
12.809,-8.054,-0.330
12.826,-8.183,-1.426
12.843,-8.184,-2.486
12.859,-8.111,-3.501
12.876,-7.981,-4.476
12.893,-7.795,-5.402
12.909,-7.528,-6.248
12.926,-7.188,-7.020
12.943,-6.782,-7.697
12.959,-6.349,-8.333
12.976,-5.193,-8.799
12.993,-4.634,-9.290
13.009,-3.981,-9.669
13.026,-3.334,-9.963
13.043,-2.685,-10.18
13.059,-2.039,-10.28
13.076,-1.341,-10.28
13.093,-0.643,-10.16
13.110,5.188E-2,-9.950
13.126,0.698,-9.636
13.143,1.432,-9.239
13.160,1.993,-8.738
13.176,2.727,-8.206
13.193,3.319,-7.565
13.210,3.826,-6.866
13.226,4.297,-6.081
13.243,4.750,-5.260
13.260,5.155,-4.402
13.276,5.485,-3.455
13.293,5.740,-2.462
13.310,5.869,-1.436
13.326,5.481,-0.260
13.343,5.475,0.758
13.360,5.498,1.778
13.376,5.542,2.736
13.393,5.468,3.685
13.410,5.353,4.571
13.426,5.102,5.449
13.443,4.745,6.250
13.460,4.326,6.969
13.476,3.783,7.557
13.493,3.323,8.205
13.510,2.799,8.763
13.526,2.226,9.216
13.543,1.646,9.576
13.560,1.020,9.858
13.577,0.382,10.03
13.593,-0.262,10.10
13.610,-0.968,10.08
13.627,-1.660,9.958
13.643,-2.305,9.758
13.660,-2.884,9.481
13.677,-3.529,9.075
13.693,-4.093,8.581
13.710,-4.687,8.000
13.727,-5.251,7.312
13.743,-5.784,6.557
13.760,-6.561,5.688
13.777,-7.025,4.779
13.793,-7.409,3.804
13.810,-7.762,2.782
13.827,-8.006,1.737
13.843,-8.193,0.693
13.860,-8.314,-0.389
13.877,-8.335,-1.456
13.893,-8.292,-2.483
13.910,-8.162,-3.483
13.927,-7.957,-4.443
13.943,-7.699,-5.322
13.960,-7.377,-6.142
13.977,-6.988,-6.907
13.993,-6.555,-7.603
14.010,-6.084,-8.244
14.027,-5.552,-8.826
